topic,priority,difficulty,weight
Logical Puzzles,Very High,Medium-Hard,10
Data Sufficiency,Very High,Medium-Hard,10
Analytical Reasoning,Very High,Medium-Hard,10
Seating Arrangement,High,Medium-Hard,9
Statement and Conclusion,High,Medium,8
Logical Sequence,High,Medium,8
Input Output,High,Medium,8
Coding Decoding,Medium,Medium,7
Syllogisms,Medium,Medium,7
Blood Relations,Medium,Easy-Medium,6
Direction Sense,Medium,Easy-Medium,6
Calendar and Clock,Low,Easy-Medium,5
Ranking and Ordering,Low,Medium,5
Cause and Effect,Low,Medium,4
Critical Reasoning,Low,Medium-Hard,4
